tramo,avance_band,creditos,saldo_total
a. 1-8,a. avance <10%,406,1138797.25
a. 1-8,b. avance 10-40%,602,1140103.49
a. 1-8,c. avance 40-70%,531,517995.68
a. 1-8,d. avance 70%+,179,86575.66
b. 9-15,a. avance <10%,84,192370.22
b. 9-15,b. avance 10-40%,138,250160.48
b. 9-15,c. avance 40-70%,145,124336.02
b. 9-15,d. avance 70%+,40,24846.27
c. 16-30,a. avance <10%,158,438208.6
c. 16-30,b. avance 10-40%,208,378804.0
c. 16-30,c. avance 40-70%,149,142762.86
c. 16-30,d. avance 70%+,56,27698.01
