id_loan,monto_asignado,motivo
7dee06c4-98b0-4c4f-8e00-caae08f33f8d,187.71,Punto ciego dayslate (bug 9)
6d4794de-e1c2-4df2-99fe-d5460bbfb2e1,587.38,Punto ciego dayslate (bug 9)
d788d067-bc9d-4a04-811a-33bed95ba0a6,2253.99,Punto ciego dayslate (bug 9)
9ad1a6e6-3799-428e-905f-e2559e5db833,1830.36,Punto ciego dayslate (bug 9)
5fb98157-bf6f-4c38-812a-9e14ddf12335,202.9,Punto ciego dayslate (bug 9)
20801d49-77d7-4fab-a25a-4b234af869d1,1567.5,Punto ciego dayslate (bug 9)
ffa93cdb-d286-4b57-b540-182816a49d9f,556.84,Punto ciego dayslate (bug 9)
7c5f7967-f624-4ea6-835b-a5e563bf0db1,152.79,Punto ciego dayslate (bug 9)
d9f6f89c-98d3-43db-9a10-020892a2723e,474.23,Punto ciego dayslate (bug 9)
35e79806-550f-4e9c-b1f2-cc91290281a2,1874.83,Punto ciego dayslate (bug 9)
a9f58e5a-b5fd-43cf-83f9-64d17507552f,305.53,Punto ciego dayslate (bug 9)
ecda535b-42aa-4042-97af-3d76741e0274,840.4,Punto ciego dayslate (bug 9)
aa055dce-4e3b-4762-be1b-4dce8e1344fa,1037.02,Punto ciego dayslate (bug 9)
fd79302a-2d39-44a1-886a-253fea8ac335,682.66,Punto ciego dayslate (bug 9)
49a83c29-ac4d-4473-b3d8-0ae79abc1bb3,500.76,Punto ciego dayslate (bug 9)
940bd93c-c3b2-42f5-8a99-54d429f89b4b,2038.22,Punto ciego dayslate (bug 9)
d4f962fd-8a87-4f30-b188-81ffdac6547f,449.07,Punto ciego dayslate (bug 9)
437a4a2f-39cf-4bec-a9fd-d172b82e220e,976.83,Punto ciego dayslate (bug 9)
b8f96b4c-d95d-49ea-ba37-65e24623a690,2430.13,Punto ciego dayslate (bug 9)
6284cea8-f34e-467e-a23b-aff922561cbf,1695.09,Punto ciego dayslate (bug 9)
ad67d808-2469-48e5-a62b-61aa9ebacaeb,1120.57,Punto ciego dayslate (bug 9)
46c78c56-5643-4c14-b8fe-13c9b17784ef,914.99,Reenganche (excluido por flg_last_loan_in_chain)
a6fce230-4ed6-40f2-b4f4-1a326c2ce2bf,1531.25,Punto ciego dayslate (bug 9)
744c78fd-349a-4013-9d6e-887f8c649190,1168.42,Punto ciego dayslate (bug 9)
bfceed79-90b0-4ae9-a2e6-40dd555f7953,3408.4,Punto ciego dayslate (bug 9)
bb0dce55-823b-429e-b5d9-5f91aa878b1a,317.89,Punto ciego dayslate (bug 9)
c8370ff0-2c42-4499-a60d-e0dee918e5c1,288.09,Punto ciego dayslate (bug 9)
83104332-e951-4013-bdf4-6fd501ce2820,537.38,Punto ciego dayslate (bug 9)
ac968221-966b-4df8-8c88-1bb2a6cb710b,254.36,Punto ciego dayslate (bug 9)
800b94d2-d5f6-4f48-b692-239abed622b1,1764.28,Punto ciego dayslate (bug 9)
eca03059-3d54-4e04-882a-13185d959cb3,832.6,Punto ciego dayslate (bug 9)
3a93e9d8-053b-4861-8631-367a5a049e05,1881.43,Punto ciego dayslate (bug 9)
bfefd3dc-9f12-485f-80e4-e8f1ad9dc342,13857.53,Punto ciego dayslate (bug 9)
110e7132-eea6-46f5-b85f-9e850a829a1a,1398.18,Punto ciego dayslate (bug 9)
6815a258-026c-455b-945e-e83c51082668,2308.49,Reenganche (excluido por flg_last_loan_in_chain)
f701ce4a-33fc-472d-a377-d2582e302b98,145.67,Punto ciego dayslate (bug 9)
a01071c5-a366-4c5d-aea0-ba659063140a,1266.2,Reenganche (excluido por flg_last_loan_in_chain)
b5cb325f-c821-4166-a6d4-e9094322bb98,738.69,Punto ciego dayslate (bug 9)
c2363685-fc51-40e7-a777-56e4a2c38ebc,303.56,Punto ciego dayslate (bug 9)
58773e4b-e1dc-4656-95ff-bad5c605cf62,194.13,Punto ciego dayslate (bug 9)
88a4bbb1-c351-4f43-91e4-9ee1418da13f,381.84,Reenganche (excluido por flg_last_loan_in_chain)
d2db76d1-b3e2-4492-bddb-d047026e9d85,147.42,Punto ciego dayslate (bug 9)
5790c57c-0131-4c26-a101-df8677374601,152.24,Punto ciego dayslate (bug 9)
00da7d71-cb22-4e42-9969-ee7de657a7f7,345.17,Punto ciego dayslate (bug 9)
6a3e6526-ae6d-48e1-b52c-2eaf2175c497,4000.36,Punto ciego dayslate (bug 9)
1aad0481-ec94-4936-903c-93c8507b6249,1866.37,Punto ciego dayslate (bug 9)
97a590af-5935-47de-8ada-6f88e03e6b62,591.12,Punto ciego dayslate (bug 9)
54951bc0-701e-4077-acaa-e4335400a48c,646.3,Reenganche (excluido por flg_last_loan_in_chain)
f4fd3ffa-2e88-4616-9593-4fb33618419b,3021.09,Punto ciego dayslate (bug 9)
414c118f-0c66-4a75-920e-9410058361ef,192.9,Reenganche (excluido por flg_last_loan_in_chain)
908a77f3-6f72-4147-ae51-1750ac580374,1172.17,Reenganche (excluido por flg_last_loan_in_chain)
addfcc65-3e5e-4874-bfd8-09a4dfc71798,522.47,Punto ciego dayslate (bug 9)
0d8d0479-7c05-43b6-b1ae-8eaea559f7df,1046.5,Punto ciego dayslate (bug 9)
3b73e2eb-65f9-4b57-9419-97b3f7718685,1135.57,Punto ciego dayslate (bug 9)
4f9b662a-a739-40e6-a8fe-e1acdeab724e,2589.19,Punto ciego dayslate (bug 9)
8ba6ca5f-9e0c-4caa-8134-f87893b46304,124.58,Punto ciego dayslate (bug 9)
60df2b45-b75a-47df-9ccd-767fcaac965d,966.08,Punto ciego dayslate (bug 9)
89a1bd5d-d6f3-44ef-9757-6855e8c09084,52.61,Punto ciego dayslate (bug 9)
e5d40794-6cba-40ee-9598-4f1e3355e750,348.21,Punto ciego dayslate (bug 9)
7fbcc43a-f308-4393-b772-80053ca786a0,218.84,Punto ciego dayslate (bug 9)
36e818c3-200a-4f11-bd65-0dccd1316a69,192.9,Punto ciego dayslate (bug 9)
2a1a869c-e7da-43e7-ad35-21199725e02a,1192.92,Punto ciego dayslate (bug 9)
5df5b515-30ac-4a67-a810-8157840341d4,2311.77,Punto ciego dayslate (bug 9)
67206412-8d12-40d4-b045-aca2e3fcb860,102.99,Punto ciego dayslate (bug 9)
ecbcb11a-5ce4-43a3-b844-4b8f0b613feb,2284.89,Punto ciego dayslate (bug 9)
5cd5bde0-fb97-4ac1-9c70-2e6e8c0599aa,8944.33,Punto ciego dayslate (bug 9)
8f76b8f2-334d-490f-8cff-b96d106d3196,5258.16,Punto ciego dayslate (bug 9)
bd14d27d-a53e-4f28-b43a-d4b857ca16d9,846.75,Punto ciego dayslate (bug 9)
ea2dbc74-dd63-42d5-bdad-8e2c5ccbae83,823.99,Punto ciego dayslate (bug 9)
fee7117b-73e2-441c-9795-c1f4d4d4b5a7,399.77,Punto ciego dayslate (bug 9)
