"id_loan","saldo","motivo"
"b44507e8-371a-4b22-84db-cd76abe06fdf","1170.61","Doble producto en otra fase"
"ee84a57e-20e6-4c7c-ae26-a2f757637f22","1627.46","Grupo de control"
"292de571-b314-475c-a169-dd07972855d2","1659.67","Sin asignar"
"4bfb94d9-22f6-497c-9a5f-b6276be544ea","920.37","Grupo de control"
"4c38fa35-36da-4ce0-8520-8bddd562aadf","1838.56","Grupo de control"
"5e1e341d-b98b-449f-bf20-2f4a35daab81","795.61","Sin asignar"
"7d59b45b-70f6-4800-a562-19911afb7567","1464.6","Grupo de control"
"9bb9bbe1-a945-42c6-bd8c-d3fd70c68277","854.54","Grupo de control"
"aa2d51f7-b23c-401c-bd52-9738f847ff39","1350.04","Sin asignar"
"b912c977-1e84-4c47-aea1-1de8e2fa1c50","534.9","Sin asignar"
"bd56fa21-ecac-40f0-9a0f-8b75303efd29","1274.58","Sin asignar"
"c142b5be-15b1-48b4-9640-8eb2eae906f7","145.62","Sin asignar"
"321286ce-21b9-4024-907b-5de447ae3067","1079.74","Grupo de control"
"360a08c7-fa12-4ff5-9b89-7dcb8f3464b8","1889.97","Grupo de control"
"59d952a9-4db6-4acb-9e33-2430a97fc767","809.34","Grupo de control"
"61320f21-7d8e-4a1a-8440-23927be3f869","1122.36","Grupo de control"
"6bbd038a-af91-4c47-bc33-4e7d16c277fd","674.17","Grupo de control"
"7a415118-e53f-4251-8345-92f8e17cc67a","1119.8","Grupo de control"
"b4d4007c-c5af-426c-a07d-c8e633f41825","207.47","Sin asignar"
"c0d22b4e-4508-467b-aee2-e31623965261","2102.53","Grupo de control"
"e00edf61-c4c3-4aaa-86af-6aa52e8af486","1279.03","Grupo de control"
"ebc1cbfa-5502-4c99-8b59-089a2c97dd89","1836.13","Grupo de control"
"3a0b8bbc-f4b0-4aa1-8e3e-32c4d3ac1cc9","234.92","Sin asignar"
"1f80180e-1a62-487f-88d3-abd7a9129554","68.75","Grupo de control"
"26a03c15-906b-4c01-aafa-7e062177107c","383.09","Sin asignar"
"50251cba-495e-4902-981c-606ada4ec52d","561.35","Sin asignar"
