"fechaproceso","creditos_activados","saldo_activado_dia"
"20260701","251","347712.41"
"20260702","376","607554.59"
"20260703","263","409799.87"
"20260704","109","136234.85"
"20260705","55","65185.59"
"20260706","126","230912.4"
"20260707","107","148039.16"
"20260708","85","138600.96"
"20260709","97","129533.56"
"20260710","79","121846.16"
"20260711","34","74219.36"
"20260712","19","36820.76"
"20260713","11","15520.6"
