"periodo","dia_entrada","avance_band","creditos","saldo_en_riesgo"
"202605","8","b. avance 10-40%","485","794702.29"
"202605","8","c. avance 40-70%","400","331459.6"
"202605","8","d. avance 70%+","315","43970.52"
"202605","9","a. avance <10%","169","387898.75"
"202605","9","b. avance 10-40%","525","898629.52"
"202605","9","c. avance 40-70%","404","303544.28"
"202605","9","d. avance 70%+","319","40552.18"
"202605","10","a. avance <10%","159","375359.4"
"202605","10","b. avance 10-40%","458","762758.32"
"202605","10","c. avance 40-70%","339","260752.51"
"202605","10","d. avance 70%+","286","47839.56"
"202605","12","a. avance <10%","432","1119114.79"
"202605","12","b. avance 10-40%","1000","1593137.92"
"202605","12","c. avance 40-70%","639","486291.06"
"202605","12","d. avance 70%+","462","67814.66"
"202605","13","a. avance <10%","181","484893.8"
"202605","13","b. avance 10-40%","423","563834.98"
"202605","13","c. avance 40-70%","294","222726.54"
"202605","13","d. avance 70%+","206","30547.7"
"202605","14","a. avance <10%","175","450065.2"
"202605","14","b. avance 10-40%","438","735120.18"
"202605","14","c. avance 40-70%","295","222321.33"
"202605","14","d. avance 70%+","237","34433.06"
"202605","15","a. avance <10%","161","408267.65"
"202605","15","b. avance 10-40%","480","715450.66"
"202605","15","c. avance 40-70%","340","276595.54"
"202605","15","d. avance 70%+","281","40700.71"
"202605","16","a. avance <10%","403","1325242.69"
"202605","16","b. avance 10-40%","1063","1904920.55"
"202605","16","c. avance 40-70%","668","597558.68"
"202605","16","d. avance 70%+","562","92199.01"
"202605","17","a. avance <10%","191","536828.98"
"202605","17","b. avance 10-40%","476","796928.18"
"202605","17","c. avance 40-70%","352","289915.69"
"202605","17","d. avance 70%+","307","45073.98"
"202605","19","a. avance <10%","369","858464.26"
"202605","19","b. avance 10-40%","998","1539701.99"
"202605","19","c. avance 40-70%","690","490784.17"
"202605","19","d. avance 70%+","588","92393.94"
"202605","20","a. avance <10%","200","447673.21"
"202605","20","b. avance 10-40%","495","760960.77"
"202605","20","c. avance 40-70%","327","241879.96"
"202605","20","d. avance 70%+","275","46183.44"
"202605","21","a. avance <10%","239","616207.63"
"202605","21","b. avance 10-40%","584","985939.24"
"202605","21","c. avance 40-70%","398","349675.46"
"202605","21","d. avance 70%+","336","54700.8"
"202605","22","a. avance <10%","211","515937.42"
"202605","22","b. avance 10-40%","573","937985.88"
"202605","22","c. avance 40-70%","367","278264.72"
"202605","22","d. avance 70%+","297","40036.63"
"202605","23","a. avance <10%","221","529030.57"
"202605","23","b. avance 10-40%","586","878616.76"
"202605","23","c. avance 40-70%","364","271658.6"
"202605","23","d. avance 70%+","309","30693.02"
"202605","24","a. avance <10%","229","534892.64"
"202605","24","b. avance 10-40%","536","851549.16"
"202605","24","c. avance 40-70%","387","297866.85"
"202605","24","d. avance 70%+","282","41326.85"
"202605","26","a. avance <10%","612","1682291.19"
"202605","26","b. avance 10-40%","1418","2523343.16"
"202605","26","c. avance 40-70%","883","790467.58"
"202605","26","d. avance 70%+","739","127922.69"
"202605","27","a. avance <10%","260","655166.66"
"202605","27","b. avance 10-40%","584","881465.65"
"202605","27","c. avance 40-70%","376","304772.85"
"202605","27","d. avance 70%+","310","42529.7"
"202605","28","a. avance <10%","178","394646.85"
"202605","28","b. avance 10-40%","512","858663.75"
"202605","28","c. avance 40-70%","354","282220.89"
"202605","28","d. avance 70%+","307","52051.31"
