dia,proy_stock,proy_nuevos,proy_total,real_stock,real_nuevos,real_total
1,451479.23,0.0,451479.23,648766.34,0.0,648766.34
2,780490.91,235351.02,1015841.93,1018428.06,239784.18,1258212.24
3,987227.92,545705.9,1532933.82,1261582.57,568085.77,1829668.34
4,1123400.75,836501.53,1959902.28,1400108.74,873541.01,2273649.75
5,1266016.69,1178115.07,2444131.77,1508279.87,1238014.47,2746294.34
6,1363221.4,1616206.25,2979427.65,1575720.06,1539623.16,3115343.22
7,1427198.27,1991869.37,3419067.64,1606583.05,1726068.47,3332651.52
8,1504284.41,2211214.62,3715499.03,1668440.35,2108454.77,3776895.12
9,1567236.31,2635580.97,4202817.27,1729922.26,2655525.86,4385448.12
10,1621036.75,3028168.07,4649204.82,1784727.36,3036568.57,4821295.93
11,1678385.88,3396083.15,5074469.03,1849958.02,3426214.42,5276172.44
12,1728250.5,3753673.89,5481924.39,1899979.24,3827329.19,5727308.43
13,1777944.68,4079232.41,5857177.08,1927469.46,4027798.13,5955267.59
14,1825290.38,4397122.31,6222412.69,1936644.77,4205010.91,6141655.68
15,1883656.02,4597598.59,6481254.61,1999205.83,4587486.15,6586691.98
16,1935983.31,5168273.37,7104256.68,2076292.21,5262876.91,7339169.12
17,1973051.15,5639253.78,7612304.93,2115085.76,5812187.02,7927272.78
18,2004803.95,6049678.78,8054482.73,2146589.7,6242931.35,8389521.05
19,2043418.18,6450444.5,8493862.68,2187842.09,6689286.51,8877128.6
20,2084766.61,6809681.76,8894448.37,2207540.59,6962613.32,9170153.91
21,2121466.23,7195172.84,9316639.08,2216152.29,7139735.24,9355887.53
22,2151826.22,7437773.06,9589599.28,2256315.82,7595309.17,9851624.99
23,2184852.61,7864079.01,10048931.62,2274691.5,8027194.15,10301885.65
24,2218663.49,8273928.7,10492592.19,2296140.29,8468976.92,10765117.21
25,2248047.42,8645346.15,10893393.58,2320208.67,8969121.08,11289329.75
26,2292680.79,9198237.46,11490918.25,2360230.69,9712934.67,12073165.36
27,2349149.16,9661563.27,12010712.43,2406516.62,10070964.61,12477481.23
28,2441139.48,10068064.48,12509203.96,2432608.8,10314786.4,12747395.2
29,2534233.72,10336773.12,12871006.84,2457515.79,10509915.88,12967431.67
30,2671013.63,10520507.9,13191521.53,2590755.27,10952814.89,13543570.16
