dia,proy_stock,proy_nuevos,proy_total,real_stock,real_nuevos,real_total
1,419271.24,19443.19,438714.43,576947.09,22457.93,599405.02
2,726000.37,216543.56,942543.94,736677.41,207760.3,944437.71
3,919942.68,315240.93,1235183.61,785901.12,262575.42,1048476.54
4,1045263.92,370458.37,1415722.29,857259.07,312533.44,1169792.51
5,1177552.24,806728.33,1984280.57,924656.84,561643.31,1486300.15
6,1269933.66,1026562.8,2296496.46,1049395.03,1044451.33,2093846.36
7,1327567.22,1477075.79,2804643.01,1106524.56,1432195.03,2538719.59
8,1398619.22,1867659.39,3266278.62,1247979.58,2206533.17,3454512.75
9,1456931.03,2203937.51,3660868.53,1309496.13,2645938.27,3955434.4
10,1507149.6,2526223.9,4033373.51,1357001.68,3094282.4,4451284.08
11,1560156.18,2835367.58,4395523.76,1390599.39,3372739.13,4763338.52
12,1606496.25,3115675.04,4722171.29,1402475.57,3522515.48,4924991.05
13,1652160.14,3297373.32,4949533.46,1454308.16,3878252.66,5332560.82
14,1695579.08,3606395.68,5301974.76,1495439.0,4311082.84,5806521.84
15,1748284.45,3903427.17,5651711.62,1541670.62,4815713.68,6357384.3
16,1794935.04,4369163.86,6164098.9,1582753.09,5406384.9,6989137.99
17,1829411.96,4761979.86,6591391.82,1623492.08,5865437.91,7488929.99
18,1859384.77,5100407.53,6959792.31,1649938.02,6120486.98,7770425.0
19,1895982.41,5417470.08,7313452.48,1663136.98,6280850.43,7943987.41
20,1935307.91,5617124.4,7552432.31,1723507.25,6572406.03,8295913.28
21,1969993.5,5981730.32,7951723.82,1749275.88,7109673.36,8858949.24
22,1999809.31,6332846.64,8332655.95,1780394.08,7586563.39,9366957.47
23,2030375.19,6659498.48,8689873.68,1810281.92,8066930.7,9877212.62
24,2062693.69,6993877.11,9056570.8,1859052.41,8453064.95,10312117.36
25,2091450.19,7308596.26,9400046.45,1881324.27,8688483.12,10569807.39
26,2133346.1,7749764.12,9883110.22,1905125.77,8977562.03,10882687.8
27,2187652.74,8012826.86,10200479.6,1949138.38,9425594.72,11374733.1
28,2274160.83,8427749.7,10701910.53,2004422.7,10012123.43,12016546.13
29,2362704.19,8875895.49,11238599.68,2119433.26,10518561.76,12637995.02
30,2493767.29,9215224.24,11708991.53,2369217.57,11021570.45,13390788.02
