dia,proy_stock,proy_nuevos,proy_total,real_stock,real_nuevos,real_total
1,300417.88,414505.6,714923.48,220708.02,297087.93,517795.95
2,518558.01,620393.66,1138951.68,422083.31,483909.32,905992.63
3,658351.46,1125581.16,1783932.62,484042.71,843404.98,1327447.69
4,752366.58,1406923.29,2159289.87,652734.38,1455334.49,2108068.87
5,853504.32,1824558.53,2678062.85,762545.72,2210256.5,2972802.22
6,925228.25,2297925.48,3223153.73,842537.87,2811397.85,3653935.72
7,970429.87,2681611.73,3652041.6,898026.29,3286096.57,4184122.86
8,1026933.96,3043004.44,4069938.4,976711.16,3640430.61,4617141.77
9,1072186.82,3392946.23,4465133.05,1018571.52,3868902.38,4887473.9
10,1112969.8,3706860.67,4819830.47,1031269.26,4009800.59,5041069.85
11,1155627.63,3911226.59,5066854.22,1073554.99,4352953.33,5426508.32
12,1192621.96,4293731.32,5486353.28,1108009.0,4895433.89,6003442.89
13,1229159.9,4620794.25,5849954.14,1176757.64,5341484.81,6518242.45
14,1264242.13,4926059.66,6190301.78,1215494.36,5751901.04,6967395.4
15,1307954.08,5233509.37,6541463.45,1269641.9,6214820.49,7484462.39
16,1348531.43,5718330.54,7066861.97,1318684.59,6638588.75,7957273.34
17,1377700.21,6122263.85,7499964.07,1342326.36,6862082.42,8204408.78
18,1402666.48,6369423.79,7772090.26,1379760.19,7328397.34,8708157.53
19,1431602.77,6764420.53,8196023.3,1423868.92,7798220.88,9222089.8
20,1460978.87,7116109.61,8577088.48,1466092.46,8242597.05,9708689.51
21,1488937.61,7478918.97,8967856.58,1493330.12,8671534.34,10164864.46
22,1511509.38,7844250.43,9355759.81,1511846.54,9112081.35,10623927.89
23,1536222.73,8196259.06,9732481.79,1523124.18,9379498.32,10902622.5
24,1560760.19,8548537.03,10109297.22,1526072.28,9578649.58,11104721.86
25,1582154.01,8772446.64,10354600.64,1557391.11,9993863.96,11551255.07
26,1614057.45,9310095.22,10924152.67,1605938.28,10706413.53,12312351.81
27,1650978.61,9765457.49,11416436.09,1644144.77,11198994.49,12843139.26
28,1710719.57,10152492.59,11863212.15,1688899.54,11650380.3,13339279.84
29,1771089.78,10586426.24,12357516.03,1819562.99,12196582.09,14016145.08
30,1858849.08,10933970.73,12792819.8,1893280.79,12432693.61,14325974.4
31,1892317.59,11593449.53,13485767.12,1918149.39,12849436.31,14767585.7
