"mes","id_ihfintech_loan","categoria","origen","saldo"
"agosto","ba5b4418-c8d2-43b1-951b-028608b8138d","1. EN AMBOS","stock","352.15"
"agosto","1365d3ba-f877-4798-b531-4a2c8ebabe4b","1. EN AMBOS","stock","527.97"
"agosto","b9e8a71b-2db0-429e-8744-cdf610a8c746","1. EN AMBOS","nuevos","1540.73"
"agosto","e6df84fa-8add-480e-bbc7-40202d4f064d","1. EN AMBOS","stock","12327.95"
"agosto","9f1b2c88-03f5-4dfd-87cf-7d814acb002c","1. EN AMBOS","stock","6696.59"
"agosto","23063f5e-5e43-4b70-a9e3-25289d37018a","1. EN AMBOS","stock","2436.53"
"agosto","ba8f292e-66f2-43b8-8426-4a87ba9dab10","1. EN AMBOS","nuevos","328.38"
"agosto","98c70b5c-c1b8-485d-8308-d31da77180a4","1. EN AMBOS","stock","1130.27"
"agosto","1485e3f6-22f9-49a4-8c40-c8b3beba3712","1. EN AMBOS","stock","1218.37"
"agosto","140be8f8-1b54-4585-ae39-f8f044a94e0d","1. EN AMBOS","stock","1738.09"
"agosto","c75cc120-57c7-4490-babf-2ebccd39884a","1. EN AMBOS","nuevos","1764.92"
"agosto","cfafcb0c-3d4e-4d54-a780-4eff8f4eeba3","1. EN AMBOS","nuevos","561.69"
"agosto","13787aff-ba21-4387-aad1-ecccd9f1dc9d","1. EN AMBOS","stock","3590.47"
"agosto","ed52ae2e-e6e3-471f-a081-96bc6630fa48","1. EN AMBOS","stock","1927.79"
"agosto","cd28625b-ba48-4b04-9c42-346e8fb0f305","1. EN AMBOS","nuevos","338.57"
"agosto","df96529a-ca3f-4a0a-8533-b8a53fe61fdb","1. EN AMBOS","nuevos","728.0"
"agosto","0d1c9e2d-0bc7-4b6f-a874-f73af44ca2a7","1. EN AMBOS","nuevos","943.69"
"agosto","0f9ad7e9-0ed5-4056-ac4c-5e00d2f42202","1. EN AMBOS","stock","922.19"
"agosto","ce7a19f4-6681-4214-bddc-8109f7bca610","1. EN AMBOS","nuevos","1570.95"
"agosto","e354df8e-44d8-4476-be80-29bca75f4ff1","1. EN AMBOS","nuevos","5704.92"
"agosto","23f70a4a-eae8-437c-8bbf-e27594d9c004","1. EN AMBOS","nuevos","1283.03"
"agosto","b811120e-4e43-4f62-a9d2-d0ff4c5ba4d1","1. EN AMBOS","stock","522.26"
"agosto","d50eca4c-b9b4-4a65-a37a-82d8e30cbcb4","1. EN AMBOS","nuevos","1121.81"
"agosto","fba42383-ab76-44e4-8754-50c7d24d97eb","1. EN AMBOS","nuevos","1798.89"
"agosto","2662ff47-d53b-4e94-96cd-f82b53030974","1. EN AMBOS","nuevos","975.7"
"agosto","fa54870b-4dec-45a3-8988-1de64e1c0e03","1. EN AMBOS","stock","2272.42"
"agosto","dbb11fe9-4f87-49f3-ab52-34f156983281","1. EN AMBOS","nuevos","1163.79"
"agosto","fff09bd1-4d60-424f-8dd9-f539d552ec05","1. EN AMBOS","nuevos","616.64"
"agosto","29765f93-365f-409e-96f5-cf57324069d4","1. EN AMBOS","nuevos","52.14"
"agosto","20e8c6ec-f66e-4d91-ae18-fac7d7db8f8c","1. EN AMBOS","stock","203.22"
"agosto","df67ff7e-411f-4103-8601-599c6a6f43e3","1. EN AMBOS","nuevos","1756.56"
"agosto","003e01f0-e148-4406-a90b-0f7218b4e2b1","1. EN AMBOS","nuevos","1558.96"
"agosto","2e1a49ac-dead-4fa9-acd5-8f1ac6c2551f","1. EN AMBOS","nuevos","677.42"
"agosto","cd50ec1e-76c7-4d52-a64f-ec658851b37b","1. EN AMBOS","stock","1277.89"
"agosto","e067f7ef-c1d4-4246-9e44-9cbce953d70a","1. EN AMBOS","nuevos","653.98"
"agosto","021ce887-655e-4a07-a0da-926d8b49b626","1. EN AMBOS","nuevos","287.17"
"agosto","330d2e30-6820-4564-9225-0172709d0307","1. EN AMBOS","nuevos","3857.43"
"agosto","58ae6975-d19a-4a21-82b2-ebba0e3b15bc","1. EN AMBOS","nuevos","1201.55"
"agosto","e21bb7e9-ba01-46a5-be02-299a7921a04c","1. EN AMBOS","nuevos","1357.57"
"agosto","08868a99-04b0-4057-afdd-413144a4cfd7","1. EN AMBOS","nuevos","993.47"
"agosto","3de8f988-8d1e-4fe2-83a0-299c82551ad4","1. EN AMBOS","nuevos","871.15"
"agosto","59321aaa-5386-42b8-831d-25677a938605","1. EN AMBOS","nuevos","341.15"
"agosto","e3eb62ea-673f-488e-9b00-9eb8b41a5c5f","1. EN AMBOS","nuevos","4125.06"
