"mes","id_ihfintech_loan","categoria","origen","saldo"
"julio","f373427d-8495-4189-85df-5f2ce0b40edb","1. EN AMBOS","nuevos","2087.96"
"julio","963d3aa2-72a1-4740-bc56-7b8e7029f712","1. EN AMBOS","nuevos","741.41"
"julio","86b0fd4e-e131-49b6-bc70-c1f801617225","1. EN AMBOS","stock","1004.16"
"julio","85492fa1-58dc-46db-8041-c4e46e9d9f87","1. EN AMBOS","stock","2426.34"
"julio","f448e50a-ac88-4879-847e-9bcdbb20bd12","1. EN AMBOS","nuevos","1215.92"
"julio","96f1135e-bcfe-4486-b28c-66028ef0ad8d","1. EN AMBOS","nuevos","382.04"
"julio","b911d8f7-6868-4b92-a8e9-7819d0167841","1. EN AMBOS","stock","419.86"
"julio","607ac3e6-1338-468e-923e-c0a99f16401b","1. EN AMBOS","stock","1642.22"
"julio","f5990074-4f6e-451b-9b08-34abd90662b9","1. EN AMBOS","nuevos","1606.5"
"julio","9bf587e0-1eb4-42a0-957b-fd63ca514308","1. EN AMBOS","nuevos","914.74"
"julio","7b3f5eae-41fd-4749-9eec-1d6d5100ed12","1. EN AMBOS","stock","1522.9"
"julio","06ddea5f-7e01-4e6b-ab61-a097e745b434","1. EN AMBOS","nuevos","411.87"
"julio","f6023529-cb30-468e-a432-bfcec9606fc8","1. EN AMBOS","nuevos","1144.93"
"julio","9c35d7f4-7b77-4b28-b802-30b217b7d76e","1. EN AMBOS","nuevos","112.41"
"julio","d1889c7d-5845-43c6-a1ec-c2e814516294","1. EN AMBOS","stock","379.61"
"julio","1585af1f-0026-46eb-95c3-5effc305b4d1","1. EN AMBOS","nuevos","1193.23"
"julio","f688ca6a-8ac9-4f04-a220-df4ce4a4bc40","1. EN AMBOS","nuevos","678.02"
"julio","a842ee6a-abea-43fa-a567-6846f26410b7","1. EN AMBOS","nuevos","920.05"
"julio","ac3161a8-a03d-4ae8-9f4c-7808e7d81cee","1. EN AMBOS","stock","1153.55"
"julio","20b6fff9-95b4-43bd-b29f-c33f0a49453d","1. EN AMBOS","nuevos","344.98"
"julio","f99e977c-aa07-4f6f-aceb-2eaa2521a5fe","1. EN AMBOS","nuevos","544.83"
"julio","abdea408-9753-4f52-98f5-b527d9a89c4b","1. EN AMBOS","nuevos","581.17"
"julio","0c6a8445-d40b-47fa-93be-74d3cd6b80b4","1. EN AMBOS","stock","397.48"
"julio","242b0028-bcac-4626-9943-4b46c4f5bfe9","1. EN AMBOS","nuevos","1386.36"
"julio","fa22d4bc-3ac5-438c-89bb-50685458e473","1. EN AMBOS","nuevos","2193.16"
"julio","bec6a593-f8cc-490d-8aea-8d496e4a807b","1. EN AMBOS","nuevos","4288.0"
"julio","cd50c386-b880-4537-a990-a02aa5074e8b","1. EN AMBOS","stock","1582.95"
"julio","28137968-9e0b-4007-be4c-4da2ec03526f","1. EN AMBOS","nuevos","775.68"
"julio","fb22fc87-56c5-4430-80c1-2678a116a0b9","1. EN AMBOS","nuevos","1679.53"
"julio","bfb8e6e1-28bd-453c-a131-5e477b933cae","1. EN AMBOS","nuevos","1196.22"
"julio","46e253c7-b04e-41f5-926b-cedf225d7534","1. EN AMBOS","stock","3164.98"
"julio","283f7f84-d192-4333-8f83-1172873ddf1e","1. EN AMBOS","nuevos","837.95"
"julio","fbb7a735-8d8f-4165-836f-a2ec04538fd8","1. EN AMBOS","nuevos","2187.63"
"julio","c19d9c6b-1465-4b26-9ce0-358814d21ff3","1. EN AMBOS","nuevos","1229.29"
"julio","239a615f-3b96-431d-85c0-469e678f75a8","1. EN AMBOS","stock","1335.36"
"julio","29da3de5-c5fa-4fc0-b4af-d121aff17627","1. EN AMBOS","nuevos","5584.29"
"julio","fbd8ac27-bc30-43ef-815b-210f9624af9a","1. EN AMBOS","nuevos","927.84"
"julio","cb493d0f-10f9-432f-a207-588a41719809","1. EN AMBOS","nuevos","675.02"
"julio","9f6c0972-24b8-433d-96e1-486a56c6b5ea","1. EN AMBOS","stock","2079.12"
"julio","2a748208-eea5-4015-8f12-45f87c8a0798","1. EN AMBOS","nuevos","719.82"
"julio","fc26ffbe-474b-4434-90e3-f99fd7f70fa2","1. EN AMBOS","nuevos","1165.32"
"julio","dab9186e-01c9-4d33-a877-43bcd298fb98","1. EN AMBOS","nuevos","1179.86"
"julio","f133a9d7-3021-4d07-a25d-40d29232b238","1. EN AMBOS","stock","13042.87"
"julio","2c9c9553-35fd-4ddb-9830-bd7b6010ef60","1. EN AMBOS","nuevos","193.39"
"julio","b0a7d054-e4e8-4a53-aa73-c33b431497b7","1. EN AMBOS","stock","762.8"
"julio","e437f811-9df6-45eb-99c9-a0c7f0ea4782","1. EN AMBOS","nuevos","677.25"
"julio","f1955a9d-bb88-428c-bb5b-8aa7d6503b03","1. EN AMBOS","stock","604.82"
"julio","36577ce7-faad-42ac-b108-add51351a811","1. EN AMBOS","nuevos","322.19"
"julio","8de23bbb-26a1-43a4-b995-be7f9ae30a33","1. EN AMBOS","stock","1298.68"
"julio","e48c2314-cd54-4f97-aed1-8107b965dc98","1. EN AMBOS","nuevos","681.36"
"julio","13d8e8ee-ff2b-4d99-b9d1-1688b4a4d6ec","1. EN AMBOS","stock","2201.41"
"julio","3cb5e92f-60cc-4af6-b5aa-60867839e76a","1. EN AMBOS","nuevos","1790.24"
"julio","210b6368-e96d-412e-b81d-be6b59002dd6","1. EN AMBOS","stock","533.15"
"julio","e956a276-ea05-4bdf-8588-f475b14ac48a","1. EN AMBOS","nuevos","1106.0"
"julio","3b104f41-7e37-4990-8b31-4367c5faaa08","1. EN AMBOS","stock","543.92"
"julio","4e531246-d034-49fd-b6a8-a5bfbd2d3ab3","1. EN AMBOS","nuevos","1662.8"
"julio","577ee7a8-1867-47e1-9fe6-bb77fdfe4dc7","1. EN AMBOS","stock","855.21"
"julio","e969b373-465e-4966-8744-8fad662c9151","1. EN AMBOS","nuevos","1126.83"
"julio","d0556d07-162d-40d1-85ae-ed4e809f6cab","1. EN AMBOS","stock","848.93"
"julio","5f772db1-6006-4fef-b299-e2af03170e58","1. EN AMBOS","nuevos","2022.57"
"julio","6c5384ad-ebbe-418d-893c-33281946c4a0","1. EN AMBOS","stock","683.3"
"julio","f0d340f3-058c-4823-8dd6-138dda2973d8","1. EN AMBOS","nuevos","949.64"
"julio","48c8f53a-2572-4ca6-9fc0-2dd1a9b817f8","1. EN AMBOS","stock","1553.57"
"julio","6256fb04-5d38-4b8c-a706-2c2e0cbde984","1. EN AMBOS","nuevos","840.89"
"julio","bcdc52bf-f1d8-4801-afda-89e0da7167da","1. EN AMBOS","stock","1410.84"
"julio","fa020d61-8dcc-4ef6-bd28-ad3c15d33829","1. EN AMBOS","nuevos","405.57"
"julio","ba9dc872-9fd6-4c97-89b1-ff1198767e4a","1. EN AMBOS","stock","795.87"
"julio","6ead1fad-ac02-45cf-80e6-ad52ec5490c4","1. EN AMBOS","nuevos","10897.4"
"julio","36bc68d6-08cd-46ee-97d4-eda691c5e6c1","1. EN AMBOS","stock","1879.68"
"julio","23fe24db-8bfc-4305-a547-5d8c13fe6349","1. EN AMBOS","stock","2659.46"
"julio","826e9e31-a3eb-41d3-b003-89ebcda06838","1. EN AMBOS","stock","1537.53"
"julio","7158ecc5-6ad2-4065-ab62-97f607e36b07","1. EN AMBOS","nuevos","57.12"
"julio","293c3041-ed16-4627-b5ef-dd63e311c0e1","1. EN AMBOS","stock","2073.13"
"julio","8d2310ba-6c8a-49d7-bbb7-ee8ea36b0005","1. EN AMBOS","stock","2516.46"
"julio","1d8f8d1a-c47a-4273-8362-aa2e0d1e69b7","1. EN AMBOS","stock","683.92"
"julio","7703fb69-e547-493e-b297-5fefb7d5331b","1. EN AMBOS","nuevos","181.74"
"julio","7cacd264-f4c8-4ea2-ae24-b545d2cc2c61","1. EN AMBOS","stock","232.99"
"julio","2479efb5-cdf5-49ef-88ed-3f5f741930d3","1. EN AMBOS","stock","83.54"
"julio","177b478f-39c3-4003-ac2b-cc7970c5abf0","1. EN AMBOS","stock","223.88"
"julio","7fd96773-c276-4ab8-9842-4b52b29b8a12","1. EN AMBOS","nuevos","1137.53"
"julio","cb12e5ef-4e24-4085-bd88-9fe0bdeeb7d9","1. EN AMBOS","stock","6002.13"
"julio","d12c9992-f050-4ccb-9049-fe66126aa387","1. EN AMBOS","stock","64.6"
"julio","e92b5c8f-6b92-4953-9dd7-0f4a8d0c8121","1. EN AMBOS","stock","1472.64"
"julio","80cde7c4-c72b-40bb-9ec3-78da17bafbee","1. EN AMBOS","nuevos","2839.33"
"julio","211735d6-e78f-47c5-abc6-06e5faa297d3","1. EN AMBOS","stock","402.24"
"julio","e5619947-fd09-4cb3-8bbf-3d57ba262570","1. EN AMBOS","stock","2494.37"
"julio","19fd7d70-f693-48db-9ecd-0cb7ddc8eb81","1. EN AMBOS","stock","1395.54"
"julio","8f9f45e5-cb53-4835-abb3-332105fb5252","1. EN AMBOS","nuevos","374.13"
"julio","75574d0b-aa4d-4549-9434-6574dd1818af","1. EN AMBOS","stock","531.84"
"julio","8de7d414-7c0f-46c7-a856-4920da955c9e","1. EN AMBOS","stock","1020.74"
"julio","6f7a579f-b5f8-4230-8cd6-4ea659b500f8","1. EN AMBOS","stock","2139.11"
"julio","94400743-1d36-4045-9f9d-87d5ea2a8979","1. EN AMBOS","nuevos","1344.67"
"julio","ce961f7a-7a57-4ee8-91ce-8e44d5a3eb6b","1. EN AMBOS","stock","3084.13"
"julio","1616599b-b755-4949-93f0-b7471b178ce0","1. EN AMBOS","stock","2090.0"
"julio","000ab39b-77e9-4948-9d61-0679b657c2a6","1. EN AMBOS","nuevos","1679.23"
"julio","a4055bfc-bc99-4d3c-bccc-223ceaa0a772","1. EN AMBOS","nuevos","11351.82"
"julio","cc0bb634-324c-4ae2-9208-abf1b86d420b","1. EN AMBOS","stock","3892.78"
"julio","2066ed27-a6e6-419e-8b9e-078e6fe8347f","1. EN AMBOS","stock","2491.59"
"julio","01b8df69-2f8a-4061-929e-ecab16f2873a","1. EN AMBOS","nuevos","771.03"
"julio","af96f2c1-0cc5-4d2d-99e6-c2cb36bfafba","1. EN AMBOS","nuevos","10315.14"
"julio","1f93d8eb-419b-4a49-9b04-6015d3b4cf75","1. EN AMBOS","stock","3034.66"
"julio","790fb7f3-1a3b-464a-aa41-979ec7a76cc8","1. EN AMBOS","stock","1377.2"
"julio","01d4b56a-0f48-4435-8bc4-b6c595414693","1. EN AMBOS","nuevos","889.75"
"julio","b679eb8e-604d-4c8d-9dc9-324275478156","1. EN AMBOS","nuevos","489.05"
"julio","6f2aa634-ff61-4d7b-b1f8-29a81d4ef10d","1. EN AMBOS","stock","1951.12"
