"id_ihfintech_loan","origen","saldo","fecha_entrada","fecha_salida","dias_hasta_pago"
"ab2771a6-7155-41c8-a691-426c5a4d2293","b. nuevos","2696.96","20260809","20260810","1"
"d07da83d-6614-466c-93b1-646b1f4e60c8","b. nuevos","1545.81","20260809","20260810","1"
"e803470a-8c4c-46c4-8e4a-ae675c111e4d","b. nuevos","397.57","20260809","20260810","1"
"1c176b4a-63ed-41db-bc74-53faa4e9cc5f","b. nuevos","1154.05","20260816","20260817","1"
"261a1c89-7697-4358-ab96-5dcbf4edf56d","b. nuevos","1319.77","20260816","20260817","1"
"5a5f40a7-caed-4823-a997-db13dd0b959e","b. nuevos","431.77","20260816","20260817","1"
"5a870f48-252e-4b2d-bdb4-989bbe48b904","b. nuevos","7040.33","20260816","20260817","1"
"81e547d4-5783-4bca-9463-353207d4987d","b. nuevos","153.55","20260816","20260817","1"
"b32e6911-6391-4418-8a92-d7496206fe93","b. nuevos","1561.25","20260816","20260817","1"
"d585e8ee-55b7-4ada-88b0-a861d080e9fd","b. nuevos","1323.39","20260816","20260817","1"
"e4933ef7-a645-4e9e-ad24-a7a39febed70","b. nuevos","152.07","20260816","20260817","1"
"00f2b3ab-79dd-47fd-9bb4-7bb039fd83b9","b. nuevos","378.81","20260823",,
"0159adb9-1ddb-47d6-b664-cae32eb8768a","b. nuevos","936.53","20260823",,
"022af740-5814-4268-8bf7-0a2a33b9a6d5","b. nuevos","1163.26","20260823",,
"037b2367-7dcc-4a5d-bab0-1af529ab4a2a","b. nuevos","475.52","20260823",,
"03d5bee1-8fe0-4306-948b-f34ffcff343d","b. nuevos","1979.8","20260823",,
"03ee8e5c-97fc-4478-88f5-b43701cb8e23","b. nuevos","1292.04","20260823",,
"052def56-6642-40ea-94b1-7b5df526b6fd","b. nuevos","3254.37","20260823",,
"06458bfe-b784-4aa8-859a-31c83e1af01e","b. nuevos","5350.86","20260823",,
"06693e1d-9a2c-459f-bb92-b32c97374c60","b. nuevos","1858.92","20260823",,
"087e7e34-6af5-4c8e-9e24-a513265dbf55","b. nuevos","389.9","20260823",,
"08d54a8f-95b4-4169-b6c8-8844d2d36632","b. nuevos","312.9","20260823",,
"08f07abc-454e-4e00-bc9f-630f6eed9e0f","b. nuevos","409.4","20260823",,
"0907ba0f-5800-457d-bd64-cac84928fd37","b. nuevos","2127.15","20260823",,
"0b34dac8-af8e-4e75-b2f8-0ab9a0c634a9","b. nuevos","832.12","20260823",,
"0e4af84a-0b78-4383-a33d-9bd062813df1","b. nuevos","334.85","20260823",,
"0ec48ce2-4d99-4e39-a010-89c3db32b958","b. nuevos","951.06","20260823",,
"0f1b35d8-b7c9-4cd0-9561-ec03ffca8141","b. nuevos","1635.76","20260823",,
"0ff6b955-e745-4039-9027-3257d342fb69","b. nuevos","462.72","20260823",,
"126e5303-c02d-47e2-bc49-167a99cdd3d2","b. nuevos","464.59","20260823",,
"1296fcd9-c244-49db-afff-a8485a703d4e","b. nuevos","683.91","20260823",,
