"clasificacion","episodios","creditos","con_recaida","pct_recaida","dias_prom_hasta_recaida","dias_mediana_hasta_recaida"
"cura_real","51852","25741","33078","63.8","38.8","28.1"
"cura_sin_pago","287","278","232","80.8","42.6","31.0"
